epoch  loss  rmse_e(eV/atom)  rmse_f(eV/A)  rmse_v(eV/atom)  rmse_stress(GPa)  gnorm
369 7.564200e-05 0.001194 0.038527 0.000000 0.0000 0.03
370 7.543505e-05 0.001105 0.038527 0.000000 0.0000 0.02
371 7.567647e-05 0.001208 0.038527 0.000000 0.0000 0.02
372 7.534963e-05 0.001063 0.038528 0.000000 0.0000 0.02
373 7.600777e-05 0.001333 0.038531 0.000000 0.0000 0.02
374 7.652054e-05 0.001512 0.038531 0.000000 0.0000 0.03
375 7.538193e-05 0.001071 0.038532 0.000000 0.0000 0.02
376 7.460176e-05 0.000603 0.038533 0.000000 0.0000 0.01
377 7.457965e-05 0.000593 0.038530 0.000000 0.0000 0.01
378 7.508742e-05 0.000928 0.038530 0.000000 0.0000 0.02
379 7.524955e-05 0.001013 0.038529 0.000000 0.0000 0.02
380 8.009918e-05 0.002425 0.038527 0.000000 0.0000 0.04
381 7.690358e-05 0.001633 0.038532 0.000000 0.0000 0.03
382 7.532479e-05 0.001046 0.038531 0.000000 0.0000 0.02
383 7.468724e-05 0.000679 0.038529 0.000000 0.0000 0.01
384 7.507969e-05 0.000925 0.038529 0.000000 0.0000 0.03
385 7.467973e-05 0.000678 0.038528 0.000000 0.0000 0.01
386 7.456677e-05 0.000580 0.038531 0.000000 0.0000 0.01
387 7.447331e-05 0.000501 0.038529 0.000000 0.0000 0.01
388 7.445618e-05 0.000484 0.038529 0.000000 0.0000 0.01
389 7.482051e-05 0.000772 0.038529 0.000000 0.0000 0.02
390 7.476164e-05 0.000735 0.038528 0.000000 0.0000 0.01
391 7.446331e-05 0.000490 0.038529 0.000000 0.0000 0.01
392 7.470064e-05 0.000690 0.038529 0.000000 0.0000 0.01
393 7.456653e-05 0.000589 0.038528 0.000000 0.0000 0.01
394 7.461407e-05 0.000629 0.038527 0.000000 0.0000 0.01
395 7.451077e-05 0.000537 0.038528 0.000000 0.0000 0.01
396 7.498525e-05 0.000867 0.038531 0.000000 0.0000 0.01
397 7.455204e-05 0.000564 0.038532 0.000000 0.0000 0.01
398 7.445593e-05 0.000468 0.038532 0.000000 0.0000 0.01
